"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 53, 0, 1, 8, 62
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step3.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 102, 0, 2, 8, 112
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\styled.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\PersonalInfo\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 10, 138
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\PersonalInfo\styled.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ProjectList\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 9, 80
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ProjectList\styled.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\Crumbs.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\Passage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\styled.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\PersonalModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 65, 0, 1, 8, 74
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-acs-sel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-acs.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-kyc-sel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-kyc.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-pi-sel.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-pi.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 2, 26
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 109, 0, 1, 9, 119
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\styled.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 22, 153
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\Confirm.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\Support.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 72, 0, 1, 13, 86
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\styled.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 18, 120
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Button.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Check.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Form.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Input.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 16, 134
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Select.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 5, 44
